"","SNP Names","Position (cM)","Mean LOD","Mean P Value","Variance LOD","Variance P Value","Joint LOD","Joint P Value","A Mean Est","A Mean Lower Bound","A Mean Upper Bound","A Standard Deviation Est","A Standard Deviation Lower Bound","A Standard Deviation Upper Bound","B Mean Est","B Mean Lower Bound","B Mean Upper Bound","B Standard Deviation Est","B Standard Deviation Lower Bound","B Standard Deviation Upper Bound"
"1","gpm27",0.01,3.10612038858254,0.211599446604666,8.25810576614619,0.0160981184050487,8.885150151806,0.0640351730619075,61.5759259259255,61.0819928864114,62.0698589654396,9.8891955969167,9.02337630046308,10.8380927823056,62.7288888888885,62.0817671019659,63.376010675811,11.6996627144226,10.5823836387881,12.9349031658169
"2","tub1",0.81,4.12057782511378,0.127417152161302,8.95892976059645,0.0113394795103033,10.2311998172943,0.0367081293645385,60.7735849056606,60.2801790792723,61.2669907320488,9.5868235966771,8.75503169589324,10.4976417980207,60.8029739776954,60.1890851312436,61.4168628241471,11.2810931582578,10.2640507732365,12.3989120530394
"3","gpm113b",0.82,4.07637622295503,0.130264521974457,8.98327882551527,0.0112022636134595,10.2036950417291,0.0371327509716789,61.1320072332726,60.6372480150901,61.6267664514551,7.72961494083806,6.97998920600983,8.55974778330379,62.9280397022328,62.2343841495427,63.6216952549228,8.97885397777732,7.96752933261257,10.1185468403933
"4","gpm705a",0.84,3.86594717452783,0.144717228729879,7.9327988889316,0.0189415104638307,8.99593165433319,0.0612012507277051,61.6635859519411,61.1240075977563,62.2031643061258,9.00772714071759,8.15931300452446,9.94436029070429,61.9137577002056,61.3204144213791,62.507100979032,9.34596497716182,8.42060442990175,10.3730156286839
"5","gpm325a",4.97,2.75158389362532,0.252639439559746,4.85104386337506,0.0884319515572907,5.89345704595132,0.207247507980313,60.8226351351347,60.3154048015404,61.329865468729,7.83023458271306,7.0827257732781,8.65663525356825,62.9212253829317,62.3067175901057,63.5357331757576,8.24124214085378,7.35187580064828,9.23819632782634
"6","dmt103b",6.89,4.17210998488081,0.12417604624687,6.42875452920188,0.0401803477591803,7.66954867701968,0.104461167116163,60.5736196319025,60.0919127794506,61.0553264843544,10.9820198497197,10.1174036245621,11.9205247171167,61.1906693711975,60.5555790624547,61.8257596799404,12.5133534948812,11.3872369387653,13.7508349505577
"7","gpm699d",8.67,0.150055943695064,0.927717535992146,1.83164399265383,0.400187538168366,2.03907007712978,0.728572795918957,61.5530035335685,61.0572236585743,62.0487834085628,10.1211013850167,9.25379001332289,11.0697015059025,62.4789356984475,61.8253208037536,63.1325505931414,11.7918389691985,10.6658187819861,13.0367362429175
"8","gpm319",14.82,1.9241794288506,0.38209358463459,1.69060753909576,0.429426891583144,3.80373405255286,0.433218658145532,60.3749999999996,59.8688092017197,60.8811907982794,10.6469843790888,9.7506094867214,11.6257631405436,63.4086757990863,62.7792765223316,64.038075075841,11.4953221132142,10.3925147223209,12.7151545143099
"9","IDP1447",19.92,2.96556397885747,0.227005282821814,5.34644056650283,0.0690295722234741,6.19693322647565,0.18491598239943,60.3583916083919,59.8282127588086,60.8885704579752,12.5119246883944,11.5034287938047,13.6088345669913,61.3989547038331,60.8329809160568,61.9649284916093,13.3755875372634,12.2992801444338,14.5460823614106
"10","bnl5.62a",21.12,4.31985243044461,0.115333630590415,5.00887685977034,0.0817214774412928,6.40815237926273,0.170670306847679,60.3716337522432,59.8331624322224,60.910105072264,8.53432692230959,7.71875845600334,9.43606882272761,60.9865384615375,60.398723299439,61.5743536236361,8.92694014168795,8.04554621354357,9.90489125015925
